,name,lr,gpu,time,alpha,block,decay,epoch,wandb,device,fc_out,m2_mlp,method,adjoint,augment,dataset,dropout,max_nfe,not_lcc,raytune,use_mlp,w_style,beta_dim,function,gcn_bias,gcn_symm,patience,alpha_dim,data_norm,gcn_fixed,max_iters,optimizer,rand_seed,step_size,tol_scale,add_source,batch_norm,gcn_params,hidden_dim,label_rate,num_splits,omega_diag,self_loops,time_dep_w,undirected,use_labels,gcn_enc_dec,gcn_non_lin,omega_style,w_diag_init,wandb_group,wandb_sweep,graff_params,omega_params,w_param_free,wandb_entity,XN_activation,input_dropout,target_homoph,w_diag_init_q,w_diag_init_r,wandb_offline,wandb_project,adjoint_method,gcn_params_idx,max_test_steps,wandb_run_name,conv_batch_norm,gcn_mid_dropout,geom_gcn_splits,planetoid_split,track_grad_flow,use_best_params,no_alpha_sigmoid,pointwise_nonlin,self_loop_weight,adjoint_step_size,time_dep_struct_w,tol_scale_adjoint,track_grad_flow_switch,graff_gcn_params,torch_save_model,torch_load_track_gf,ev_max,pred_homophil,label_homophil,RQXN,TN_DE,_step,T0r_DE,av_fwd,train_acc_mean,T0_DE,ev_av,TNr_DE,_timestamp,test_acc_std,test_acc_mean,enc_pred_homophil,TN_WDE,_wandb,ev_std,std_fwd,num_params,RQX0,T0_WDE,ev_min,_runtime,val_acc_mean,loss_mean
154,cool-sweep-139,0.001,0,2,1,constant,0.005,129,True,cpu,False,False,euler,False,False,Citeseer,0.35,1000,False,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,6418,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.8223795890808103,1.612581491470337,0.07360842078924179,192266.578125,0.0,0.38065510988235474,0.07465124614536763,88.67559754844339,25491.130859375,0.0,0.07360842823982239,1681040349.16459,1.401236876671832,75.89863448354015,0.7878690361976624,0.0,{'runtime': 98},0.0,0.011175635775861444,523396.0,0.3806551396846771,0.0,0.0,99.01461720466614,77.10691641256473,
287,sage-sweep-1,0.001,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,Cora,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,973,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.751247763633728,1.6853362321853638,0.06396172195672989,722975.25,0.0,0.5530878305435181,0.02911424320191145,96.67785234899333,41997.29296875,0.0,0.06396172940731049,1680988733.767839,1.0387049898704457,85.61368209255532,0.5537511110305786,0.0,{'runtime': 39},0.0,0.001519133978696377,232836.0,0.5530877709388733,0.0,0.0,40.45870304107666,86.58291457286431,
251,classic-sweep-75,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,Pubmed,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,2797,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.808499097824097,1.6766853332519531,0.11100535839796066,6460260.5,0.0,0.7688819766044617,0.1088988272473216,88.7794568318715,35423.68359375,0.0,0.11100535094738008,1680991723.658209,0.443856829439001,87.30983772819472,1.1140681505203247,0.0,{'runtime': 145},0.0,0.004270558434938304,113412.0,0.7688819766044617,0.0,0.0,146.34509706497192,87.41996830427891,
224,golden-sweep-111,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,chameleon,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,4149,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,0.576170027256012,0.5137882828712463,0.16939927637577057,1824969.375,0.0,1.3156741857528689,0.04992167241871357,90.2014652014652,34219.9765625,0.0,0.16939926147460938,1680997240.5897229,2.0175438596491224,62.63157894736842,0.23885326087474823,0.0,{'runtime': 67},0.0,0.0020043759946655193,347012.0,1.3156741857528689,0.0,0.0,67.59112882614136,63.42935528120714,
35,cosmic-sweep-73,0.001,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,9170,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.2455902099609375,0.9416553378105164,0.09004344791173935,146698.375,0.0,0.8773507475852966,0.0043972406536340715,72.18390804597702,40328.6484375,0.0,0.09004344791173935,1681032601.854675,4.750917792228904,59.18918918918919,0.5508819818496704,0.0,{'runtime': 7},0.0,0.0002667622589566227,267396.0,0.8773506879806519,0.0,0.0,8.004330158233643,62.71186440677966,
293,worldly-sweep-7,0.005,0,2,1,constant,0.005,129,True,cpu,False,False,euler,False,False,film,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,7849,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,,False,False,,1,False,1,False,,False,False,0.0,1.0362125635147097,0.628911018371582,0.11248116195201874,783334.625,0.0,0.6564832925796509,0.06988184992223978,32.39583333333333,66740.609375,0.0,0.11248117685317992,1682334239.5033169,0.8426190866623884,29.960526315789476,0.8763912320137024,0.0,{'runtime': 93},0.0,0.01012566773745732,168708.0,0.6564833521842957,0.0,0.0,93.84448981285097,30.826480263157897,1.5341028451919556
192,classic-sweep-147,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,squirrel,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,7164,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,0.5032059550285339,0.464400976896286,0.24636298418045044,35573388.0,0.0,0.8702345490455627,0.1521967953070998,69.57532051282051,139164.03125,0.0,0.24636299908161163,1681001041.715517,2.3767403795107955,42.76657060518731,0.18067364394664764,0.0,{'runtime': 205},0.0,0.006304913938174293,316804.0,0.8702346086502075,0.0,0.0,206.32807803153992,43.28725961538461,
83,deep-sweep-25,0.001,0,2,1,constant,0.05,129,True,cpu,False,False,euler,False,False,texas,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,9797,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.3900134563446045,0.5856950283050537,0.086207315325737,4681.52392578125,0.0,0.7763594388961792,0.004415669851005078,69.54022988505747,12171.3076171875,0.0,0.086207315325737,1681031482.477673,4.399681242189111,60.81081081081082,0.6882591247558594,0.0,{'runtime': 7},0.0,0.00031700436701643045,267396.0,0.776359498500824,0.0,0.0,8.014470100402832,60.16949152542374,
57,hearty-sweep-51,0.005,0,2,1,constant,0.005,129,True,cpu,False,False,euler,False,False,wisconsin,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,193,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.092962622642517,0.7141615748405457,0.11904139071702956,21036.2109375,0.0,0.8612995147705078,0.005340290442109108,68.0,19850.818359375,0.0,0.11904140561819077,1681032090.814135,3.513033895523317,51.56862745098039,0.8149435520172119,0.0,{'runtime': 8},0.0,0.0003368845756263607,267396.0,0.861299455165863,0.0,0.0,9.377279043197632,55.125,
124,resilient-sweep-164,0.001,0,4,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,Citeseer,0.35,1000,False,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,5385,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.8526264429092407,1.612581491470337,0.054412227123975754,1779832.75,0.0,0.3661692142486572,0.0858277453109622,84.6173324165872,34242.23828125,0.0,0.054412223398685455,1681047930.805428,1.3501990095337333,75.476089296844,0.8567291498184204,0.0,{'runtime': 113},0.0,0.012947208548336033,556164.0,0.3661692440509796,0.0,0.0,113.5631160736084,76.33972909622683,
