,name,lr,gpu,time,alpha,block,decay,epoch,wandb,device,fc_out,m2_mlp,method,adjoint,augment,dataset,dropout,max_nfe,not_lcc,raytune,use_mlp,w_style,beta_dim,function,gcn_bias,gcn_symm,patience,alpha_dim,data_norm,gcn_fixed,max_iters,optimizer,rand_seed,step_size,tol_scale,add_source,batch_norm,gcn_params,hidden_dim,label_rate,num_splits,omega_diag,self_loops,time_dep_w,undirected,use_labels,gcn_enc_dec,gcn_non_lin,omega_style,w_diag_init,wandb_group,wandb_sweep,graff_params,omega_params,w_param_free,wandb_entity,XN_activation,input_dropout,target_homoph,w_diag_init_q,w_diag_init_r,wandb_offline,wandb_project,adjoint_method,gcn_params_idx,max_test_steps,wandb_run_name,conv_batch_norm,gcn_mid_dropout,geom_gcn_splits,planetoid_split,track_grad_flow,use_best_params,no_alpha_sigmoid,pointwise_nonlin,self_loop_weight,adjoint_step_size,time_dep_struct_w,tol_scale_adjoint,track_grad_flow_switch,graff_gcn_params,torch_save_model,torch_load_track_gf,ev_max,pred_homophil,label_homophil,RQXN,TN_DE,_step,T0r_DE,av_fwd,train_acc_mean,T0_DE,ev_av,TNr_DE,_timestamp,test_acc_std,test_acc_mean,enc_pred_homophil,TN_WDE,_wandb,ev_std,std_fwd,num_params,RQX0,T0_WDE,ev_min,_runtime,val_acc_mean,loss_mean
0,lyric-sweep-108,0.005,0,4,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,2401,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.180461287498474,0.9416553378105164,0.12757739424705505,7136.88037109375,0.0,0.9675336480140686,0.006802476383745671,97.70114942528735,4852.73828125,0.0,0.12757742404937744,1681033418.270568,4.530555301146003,69.45945945945947,0.9470827579498292,0.0,{'runtime': 10},0.0,0.0004339795237614877,267396.0,0.9675335884094238,0.0,0.0,11.178247928619385,80.5084745762712,
1,cerulean-sweep-107,0.005,0,2,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,4116,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.1207598447799685,0.9416553378105164,0.3661743402481079,13607.724609375,0.0,0.880487322807312,0.004464437067508697,99.3103448275862,7932.0048828125,0.0,0.36617428064346313,1681033394.450221,7.297297297297297,78.64864864864865,1.6472184658050537,0.0,{'runtime': 7},0.0,0.00029328116949875894,267396.0,0.880487322807312,0.0,0.0,8.076027154922485,86.27118644067797,
2,swift-sweep-106,0.001,0,4,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,8656,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.202170968055725,0.9416553378105164,0.11335188895463943,7053.619140625,0.0,0.8967772722244263,0.006754089146852493,89.88505747126435,5049.70361328125,0.0,0.11335188150405884,1681033371.168309,6.864013567135292,63.51351351351352,1.0827679634094238,0.0,{'runtime': 10},0.0,0.00038911282288951407,267396.0,0.8967771530151367,0.0,0.0,11.083388090133669,74.91525423728814,
3,frosty-sweep-105,0.001,0,2,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,2144,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.0881954431533811,0.9416553378105164,0.30203977227211,11710.7265625,0.0,0.8040667772293091,0.004546655900776386,97.0114942528736,10353.05078125,0.0,0.3020397126674652,1681033347.906661,7.720463165992271,78.9189189189189,0.7082768082618713,0.0,{'runtime': 7},0.0,0.00034176087933444514,267396.0,0.8040667176246643,0.0,0.0,8.354975938796997,82.37288135593221,
4,honest-sweep-104,0.005,0,4,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,6162,1,1,False,False,"[5, 'gcn_res_dgl', True, True, True, False]",128,0.5,10,free,True,False,True,False,True,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,5,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.1587517261505127,0.9416553378105164,0.1400972604751587,7038.4736328125,0.0,1.110445499420166,0.006754325702786446,98.27586206896552,4124.32275390625,0.0,0.14009730517864227,1681033324.5147798,4.5224866299139235,70.27027027027027,0.7788330912590027,0.0,{'runtime': 10},0.0,0.0003767454465848429,267396.0,1.110445499420166,0.0,0.0,11.08719778060913,80.5084745762712,
5,true-sweep-103,0.005,0,2,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,4229,1,1,False,False,"[5, 'gcn_res_dgl', True, True, True, False]",128,0.5,10,free,True,False,True,False,True,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,5,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.0990501642227173,0.9416553378105164,0.3434184193611145,12927.982421875,0.0,0.8317172527313232,0.0045273913070559505,98.85057471264368,7675.90869140625,0.0,0.3434184789657593,1681033300.892117,7.357112210170919,77.56756756756758,1.4518316984176636,0.0,{'runtime': 7},0.0,0.0003188236317534908,267396.0,0.8317171335220337,0.0,0.0,8.181159973144531,85.93220338983052,
6,solar-sweep-102,0.001,0,4,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,1998,1,1,False,False,"[5, 'gcn_res_dgl', True, True, True, False]",128,0.5,10,free,True,False,True,False,True,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,5,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.1858887672424316,0.9416553378105164,0.10512148588895798,6560.646484375,0.0,0.9504865407943726,0.006665077246725559,95.28735632183908,3725.0205078125,0.0,0.10512147843837738,1681033277.751614,3.8696813684530698,63.51351351351353,0.8819538950920105,0.0,{'runtime': 10},0.0,0.00037966255810971704,267396.0,0.9504866003990172,0.0,0.0,10.929539918899536,74.23728813559322,
7,devoted-sweep-101,0.001,0,2,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,1976,1,1,False,False,"[5, 'gcn_res_dgl', True, True, True, False]",128,0.5,10,free,True,False,True,False,True,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,5,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.0990501642227173,0.9416553378105164,0.29277515411376953,11362.9208984375,0.0,0.8021499514579773,0.004516501538455486,97.1264367816092,10443.5615234375,0.0,0.2927752435207367,1681033254.389539,7.357112210170917,77.56756756756758,0.9470827579498292,0.0,{'runtime': 7},0.0,0.00026992635482825334,267396.0,0.8021499514579773,0.0,0.0,8.282864093780518,82.20338983050848,
8,electric-sweep-100,0.005,0,4,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,9167,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,2.0,0.9416553378105164,0.03329179435968399,2094.02197265625,0.0,0.6888335943222046,0.006596286594867706,52.643678160919535,4942.69775390625,0.0,0.03329185023903847,1681033231.2340648,3.2092816451453836,58.648648648648646,2.0,0.0,{'runtime': 10},0.0,0.00036191666207854346,300164.0,0.6888336539268494,0.0,0.0,10.890251874923706,56.61016949152543,
9,grateful-sweep-99,0.005,0,2,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_dgl,False,False,,sc,rw,False,100,adam,6013,1,1,False,False,"[0, 'gcn_dgl', True, False, False, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.207598328590393,0.9416553378105164,0.10044663399457932,4755.80126953125,0.0,0.7158350348472595,0.004411642625927925,79.88505747126437,8390.298828125,0.0,0.10044659674167632,1681033207.891607,7.272229214634436,57.837837837837846,0.9579375982284546,0.0,{'runtime': 7},0.0,0.0002778779085985108,267396.0,0.7158351540565491,0.0,0.0,8.139920949935913,65.2542372881356,
