,name,lr,gpu,time,alpha,block,decay,epoch,wandb,device,fc_out,m2_mlp,method,adjoint,augment,dataset,dropout,max_nfe,not_lcc,raytune,use_mlp,w_style,beta_dim,function,gcn_bias,gcn_symm,patience,alpha_dim,data_norm,gcn_fixed,max_iters,optimizer,rand_seed,step_size,tol_scale,add_source,batch_norm,gcn_params,hidden_dim,label_rate,num_splits,omega_diag,self_loops,time_dep_w,undirected,use_labels,gcn_enc_dec,gcn_non_lin,omega_style,w_diag_init,wandb_group,wandb_sweep,graff_params,omega_params,w_param_free,wandb_entity,XN_activation,input_dropout,target_homoph,w_diag_init_q,w_diag_init_r,wandb_offline,wandb_project,adjoint_method,gcn_params_idx,max_test_steps,omega_diag_val,wandb_run_name,conv_batch_norm,gcn_mid_dropout,geom_gcn_splits,planetoid_split,track_grad_flow,use_best_params,graff_gcn_params,no_alpha_sigmoid,pointwise_nonlin,self_loop_weight,adjoint_step_size,time_dep_struct_w,tol_scale_adjoint,track_grad_flow_switch,T0r_DE,std_fwd,test_acc_mean,T0_WDE,TN_WDE,gf_table,val_acc_mean,enc_pred_homophil,RQXN,ev_av,ev_max,num_params,_step,_wandb,ev_std,train_acc_mean,av_fwd,_timestamp,test_acc_std,ev_min,ev_skew,_runtime,pred_homophil,RQX0,TN_DE,TNr_DE,T0_DE,label_homophil,loss_mean,W_evecs,W_evals
359,peachy-sweep-73,0.001,0,2,1,constant,0.005,129,True,cpu,False,False,euler,False,False,Citeseer,0.35,1000,False,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,9612,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.4551738202571869,0.012890517936547944,76.35765482463596,-1080.305419921875,-65590.796875,"{'nrows': 3, 'sha256': 'da7bd78af6125b5f3b006ea7f00aaa8799c8aed9c5ed80268704bfffb12bb206', 'artifact_path': 'wandb-client-artifact://w9tt1ryera1nz4wkd5qmybipzsa76j7vg2ihy825cl953vmos7dkqaguk1gdxxmnjzb8qbil9t1w5bqraa0vsg8pg92wom1upwx5gjfm5vjvcf2bwvam6fgaewgaz8sn:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://w9tt1ryera1nz4wkd5qmybipzsa76j7vg2ihy825cl953vmos7dkqaguk1gdxxmnjzb8qbil9t1w5bqraa0vsg8pg92wom1upwx5gjfm5vjvcf2bwvam6fgaewgaz8sn:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_da7bd78af6125b5f3b00.table.json', 'size': 374, '_type': 'table-file', 'ncols': 6}",77.1647341091221,0.8490065336227417,0.15421032905578613,0.012353463098406792,2.961775779724121,507914.0,1,{'runtime': 118},0.872279942035675,90.86368206652324,0.08907493650913238,1681418779.334647,1.6665531122859818,-2.6140270233154297,0.48318198323249817,118.59678483009338,1.8085432052612305,0.4551738500595093,16471.841796875,0.15421032905578613,11840.68359375,1.612581491470337,,,
413,efficient-sweep-19,0.001,0,2,1,constant,0.005,129,True,cpu,False,False,euler,False,False,Cora,0.35,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,8535,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.6331695318222046,0.0016300308526235778,86.88128772635814,-1578.7579345703125,-88699.609375,"{'artifact_path': 'wandb-client-artifact://2n9e5apf3m0u6vsv22l0qz4k1vutdj1i15vg7lvrpidjo2x4uuh1mvbvmjw3508nkvi9dg3h0upj4ip4y0fsaf20pi2hu09tghdfgqitysr8yxyw4z7w0jt4oxrljruz:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://2n9e5apf3m0u6vsv22l0qz4k1vutdj1i15vg7lvrpidjo2x4uuh1mvbvmjw3508nkvi9dg3h0upj4ip4y0fsaf20pi2hu09tghdfgqitysr8yxyw4z7w0jt4oxrljruz:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_ff700651541f34ce361f.table.json', 'size': 371, '_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': 'ff700651541f34ce361f3659af514cfd618851192858f897533288829a66100e'}",87.71356783919599,0.7226491570472717,0.14181682467460632,0.04003782570362091,3.3621041774749756,217483.0,1,{'runtime': 55},0.9675485491752625,97.06375838926176,0.04036727733910084,1681412221.023967,1.2877263581488942,-2.6258699893951416,1.004267930984497,55.624716997146606,1.7579022645950315,0.6331694722175598,16741.49609375,0.14181682467460632,10596.0244140625,1.6853362321853638,,,
320,magic-sweep-112,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,Pubmed,0.35,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,8303,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.8297479748725891,0.010456345140560448,88.50152129817444,-1271.83642578125,-246156.34375,"{'nrows': 3, 'sha256': '068def96e2e2aec468c626db281d49732cdb67d941d88b7f82fe1fcb8bd8c59a', 'artifact_path': 'wandb-client-artifact://0272r35j2szfbw6pk540dmw60wv4jtg2t8g7ncms39cm1b9p9ybuhfmltm2327m4owryvgehc4hvrpc6trkj052798nszsn2u1w93n91dntygn2dbert30ur48sx36hw:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://0272r35j2szfbw6pk540dmw60wv4jtg2t8g7ncms39cm1b9p9ybuhfmltm2327m4owryvgehc4hvrpc6trkj052798nszsn2u1w93n91dntygn2dbert30ur48sx36hw:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_068def96e2e2aec468c6.table.json', 'size': 370, '_type': 'table-file', 'ncols': 6}",88.80348652931855,1.2517879009246826,0.20583535730838776,0.046066764742136,6.693009853363037,97543.0,1,{'runtime': 279},1.1370720863342283,90.31913769417731,0.20029166638851165,1681426330.890368,0.4350797527516526,-4.8493733406066895,3.4465012550354004,279.56206703186035,1.84256911277771,0.8297479152679443,36018.453125,0.20583534240722656,7617.126953125,1.6766853332519531,,,
266,solar-sweep-166,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,chameleon,0.35,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,3351,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,1.6304216384887695,0.004644433388234413,64.60526315789474,-947.5657958984376,-5860.81103515625,"{'_latest_artifact_path': 'wandb-client-artifact://g1tl717wc68ha93n83hxbh9hxs7kq0adscbodelg30tmf81fhk6p6a4jmpx317ds4v4vkd17a8ogl4kodnxpf50jywie68qmbyi98xch3ahizag1qglowdswtcjjdjk8:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_90d630ff4f5904a4ee9f.table.json', 'size': 369, '_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': '90d630ff4f5904a4ee9f50ab0dc1367e5f5de94ad6b6c003b0ff70b39559a941', 'artifact_path': 'wandb-client-artifact://g1tl717wc68ha93n83hxbh9hxs7kq0adscbodelg30tmf81fhk6p6a4jmpx317ds4v4vkd17a8ogl4kodnxpf50jywie68qmbyi98xch3ahizag1qglowdswtcjjdjk8:latest/gf_table.table.json'}",65.92592592592594,0.22095079720020297,1.119024395942688,-0.02543509006500244,6.039229393005371,331401.0,1,{'runtime': 114},1.351032853126526,99.5970695970696,0.08615733720362187,1681452549.3146298,1.6678204685817135,-6.367766380310059,-0.3925544023513794,115.1724488735199,0.5574678182601929,1.630421757698059,34342.0078125,1.119024395942688,33595.3125,0.5137882828712463,,,
14,ruby-sweep-12,0.005,0,2,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,2172,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,1.1207295656204224,0.0003149669193169482,79.45945945945947,276.3865661621094,280.93524169921875,"{'ncols': 6, 'nrows': 3, 'sha256': '58c625fc75d0019e03b923363a5133a0348cab0b75fe4002d9618a404c1db0f3', 'artifact_path': 'wandb-client-artifact://kfpmrnkm36wc8jgk80r33eydx53c88qwt459pii94wgo3cfc9f7xtgnibyd6kk1o3kgb5q09o9uakupk81zfwxdiwyn8or8xmp111woe023g9fjhr6u12moufd8hgavl:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://kfpmrnkm36wc8jgk80r33eydx53c88qwt459pii94wgo3cfc9f7xtgnibyd6kk1o3kgb5q09o9uakupk81zfwxdiwyn8or8xmp111woe023g9fjhr6u12moufd8hgavl:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_58c625fc75d0019e03b9.table.json', 'size': 382, '_type': 'table-file'}",85.93220338983049,0.6268656849861145,1.078711748123169,-0.0008418563520535827,0.20350080728530884,251785.0,1,{'runtime': 9},0.04976276680827141,99.19540229885058,0.004330515302717686,1681539187.484384,7.068484773309203,-0.4178563952445984,-7.817440032958984,10.378751039505005,1.0610584020614624,1.1207295656204224,3755.97998046875,1.078711748123169,3852.6650390625,0.9416553378105164,,,
484,genial-sweep-1,0.001,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,film,0.35,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,9978,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,1.4249584674835205,0.008791894818465451,35.37499999999999,356.62353515625,2554.310302734375,"{'_latest_artifact_path': 'wandb-client-artifact://dz8wjh0u554lzumhnq4oaqx6qqgl30jws5lrc5ya1xni2w7zj7d2azyzn9m3wuectx349ad9irnn4nkc3hox84zva3wv2cqybd3vbh0aauyhp100v46f4p2896w822y7:latest/gf_table.table.json', 'path': 'media/table/gf_table_1_165a3c6a57cb84df62dd.table.json', 'size': 371, '_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': '165a3c6a57cb84df62dd6c56affb6b9c791f9923783d73c319b39d3d565d1f5a', 'artifact_path': 'wandb-client-artifact://dz8wjh0u554lzumhnq4oaqx6qqgl30jws5lrc5ya1xni2w7zj7d2azyzn9m3wuectx349ad9irnn4nkc3hox84zva3wv2cqybd3vbh0aauyhp100v46f4p2896w822y7:latest/gf_table.table.json'}",36.875,0.4771660268306732,1.327913522720337,0.007408116944134235,2.19339370727539,153097.0,2,{'runtime': 257},0.7833868265151978,54.9671052631579,0.12168525028973816,1681898367.3803,0.6378865402461055,-2.6994428634643555,-0.19114413857460025,258.3065469264984,0.7445418238639832,1.4249584674835205,24711.4140625,1.3279136419296265,26762.1640625,0.628911018371582,,"{'values': [2, 1, 6, 14, 33, 56, 118, 218, 433, 753, 1163, 1535, 1842, 2097, 2134, 1874, 1462, 1078, 701, 388, 236, 121, 71, 24, 14, 5, 3, 0, 1, 0, 0, 1], 'bins': [-0.39333727955818176, -0.36520886421203613, -0.3370804488658905, -0.3089520335197449, -0.28082361817359924, -0.2526952028274536, -0.22456678748130798, -0.19643837213516235, -0.16830995678901672, -0.1401815265417099, -0.11205311864614487, -0.08392470329999924, -0.05579628422856331, -0.02766786888241768, 0.0004605483263731003, 0.02858896553516388, 0.05671738088130951, 0.08484579622745514, 0.11297421157360077, 0.1411026269197464, 0.16923104226589203, 0.19735945761203766, 0.2254878729581833, 0.2536163032054901, 0.28174471855163574, 0.30987313389778137, 0.338001549243927, 0.36612996459007263, 0.39425837993621826, 0.4223867952823639, 0.4505152106285095, 0.47864362597465515, 0.5067720413208008], '_type': 'histogram'}","{'_type': 'histogram', 'bins': [-1.3497214317321777, -1.273270845413208, -1.1968202590942383, -1.1203696727752686, -1.0439190864562988, -0.9674685597419739, -0.8910180330276489, -0.8145674467086792, -0.7381168603897095, -0.6616662740707397, -0.58521568775177, -0.5087651610374451, -0.43231457471847534, -0.3558639883995056, -0.2794134318828583, -0.20296286046504974, -0.1265122890472412, -0.05006171762943268, 0.026388853788375854, 0.10283942520618439, 0.17928999662399292, 0.25574058294296265, 0.33219113945961, 0.4086416959762573, 0.48509228229522705, 0.5615428686141968, 0.6379934549331665, 0.7144439816474915, 0.7908945679664612, 0.8673451542854309, 0.9437956809997559, 1.0202462673187256, 1.0966968536376953], 'values': [1, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 6, 6, 8, 6, 10, 10, 10, 10, 8, 10, 8, 6, 6, 3, 5, 1, 2, 0, 0, 0, 2]}"
212,breezy-sweep-220,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,squirrel,0.35,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,9778,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,1.5434820652008057,0.019647530316335312,47.88664745437079,-10141.2861328125,1735.5733642578125,"{'sha256': '53416a372f1094be69cb6603b0d8c5c1181ab7e0aad52e12424086f0f496970a', 'artifact_path': 'wandb-client-artifact://2w5pfd7tifp4hwfyn5cnjnl56zliecgzbqm9r9h0ozflh2w9usxov7trnvzff705e4948og87ypg7py190knvaebpjaa94fjuxnagm8g4ywoykl6n1dm0rxvx2lixs2m:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://2w5pfd7tifp4hwfyn5cnjnl56zliecgzbqm9r9h0ozflh2w9usxov7trnvzff705e4948og87ypg7py190knvaebpjaa94fjuxnagm8g4ywoykl6n1dm0rxvx2lixs2m:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_53416a372f1094be69cb.table.json', 'size': 356, '_type': 'table-file', 'ncols': 6, 'nrows': 3}",48.83413461538461,0.17425423860549927,1.362766981124878,-0.05795375257730484,4.1681227684021,301193.0,1,{'runtime': 619},1.1312428712844849,98.07291666666669,0.470215317606926,1681468214.008847,1.384918717542887,-5.137386322021484,-1.1027874946594238,620.1905839443207,0.4915515184402466,1.5434821844100952,62408.8046875,1.3627668619155884,123576.75,0.464400976896286,,,
140,feasible-sweep-292,0.005,0,2,1,constant,0.005,129,True,cpu,False,False,euler,False,False,texas,0.35,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,3912,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,1.384864330291748,0.0003142648107735722,82.97297297297298,660.6774291992188,1218.85498046875,"{'_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': '62981c707768155fa7b1f92b173e9d546c853d8c7ed098f61942d386a6f1d775', 'artifact_path': 'wandb-client-artifact://11rivf09izi2pm39suh9qmwupib2nbvbwrupj0nlo4hd4iwvwyk23x9d30ugsld9wyw8ztfg9c68ap6tnsxcbsbef670okigp7s62rvqwngvebps73rno6ri4w5r05ou:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://11rivf09izi2pm39suh9qmwupib2nbvbwrupj0nlo4hd4iwvwyk23x9d30ugsld9wyw8ztfg9c68ap6tnsxcbsbef670okigp7s62rvqwngvebps73rno6ri4w5r05ou:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_62981c707768155fa7b1.table.json', 'size': 362}",88.30508474576273,0.5533063411712646,1.11335027217865,-0.002483905293047428,1.2814748287200928,251785.0,1,{'runtime': 8},0.25049686431884766,100.0,0.0043931292369961735,1681535809.355742,4.530555301146003,-1.4335166215896606,-1.5615499019622805,8.579278945922852,0.6774628758430481,1.3848642110824585,10062.71484375,1.1133503913879397,10855.5029296875,0.5856950283050537,,,
86,light-sweep-346,0.005,0,2,1,constant,0.005,129,True,cpu,False,False,euler,False,False,wisconsin,0.35,1000,True,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,1600,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,1.2676060199737549,0.00035133045590943375,84.50980392156863,1270.9732666015625,1327.142333984375,"{'path': 'media/table/gf_table_0_b5ccbd763c9a9a787a02.table.json', 'size': 374, '_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': 'b5ccbd763c9a9a787a02696f84fa3feea3056c399b8aa1e079b40fbb89edab0e', 'artifact_path': 'wandb-client-artifact://6cqnfdrprvw5xze2kjx23afonkardkoxn8sdbowsy9cenqtm4qnf4stujc30t1auto7a3lxh8rv1zknnzn1o1r8ymp76oerzc8rar70fk8v32vmsseq1tmuccbdi8jjq:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://6cqnfdrprvw5xze2kjx23afonkardkoxn8sdbowsy9cenqtm4qnf4stujc30t1auto7a3lxh8rv1zknnzn1o1r8ymp76oerzc8rar70fk8v32vmsseq1tmuccbdi8jjq:latest/gf_table.table.json'}",86.875,0.8149435520172119,1.1072660684585571,-0.001609567552804947,0.7970513701438904,251785.0,1,{'runtime': 9},0.16912955045700073,99.75,0.005499366298317909,1681537258.905921,4.5098039215686265,-1.2113486528396606,-4.003178596496582,10.120078086853027,0.6828844547271729,1.2676061391830444,11825.5224609375,1.107266187667847,12840.978515625,0.7141615748405457,,,
355,fancy-sweep-77,0.005,0,4,1,constant,0.005,129,True,cpu,False,False,euler,False,False,Citeseer,0.35,1000,False,False,False,asymm,sc,graff,False,False,,sc,rw,False,100,adam,1926,1,1,False,False,,128,0.5,10,const,True,True,True,False,False,False,diag,uniform,testing,True,,,True,graph_neural_diffusion,False,0.5,0.80,1,0,False,greed,adaptive_heun,0,100,1,,False,False,True,False,True,False,"[0, 'diag', 'const', 1, True, 'asymm', True, False]",False,True,,1,False,1,True,0.6509798765182495,0.015664392231996536,76.1560145050711,-547.2476196289062,-19838.90234375,"{'_latest_artifact_path': 'wandb-client-artifact://maxwky7ax8r8n4pjllxqb81inop2cwvyhw5cpttoqn0cvfzygv4zj8t2ez7a3f2tmdi0n8njrjpocsrsjne0z7b0ls7nm1myag1tl3naxe3uni7cfi6d5gzkhq06tvhy:latest/gf_table.table.json', 'path': 'media/table/gf_table_0_b9937db2ae0379a88f8f.table.json', 'size': 585, '_type': 'table-file', 'ncols': 6, 'nrows': 5, 'sha256': 'b9937db2ae0379a88f8fbba96fd167e65a2710aa6a8fdec87bf078b825df7e7d', 'artifact_path': 'wandb-client-artifact://maxwky7ax8r8n4pjllxqb81inop2cwvyhw5cpttoqn0cvfzygv4zj8t2ez7a3f2tmdi0n8njrjpocsrsjne0z7b0ls7nm1myag1tl3naxe3uni7cfi6d5gzkhq06tvhy:latest/gf_table.table.json'}",76.99166822239278,0.946182906627655,0.15703922510147095,0.0028512757271528244,1.64472234249115,540938.0,1,{'runtime': 141},0.37776997685432434,88.9826520578733,0.10674858409911396,1681419450.613157,1.5018707110878031,-1.4513249397277832,0.8368475437164307,141.59562802314758,1.7992116212844849,0.6509799361228943,12087.3125,0.15703921020030975,9002.810546875,1.612581491470337,,,
